Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
javapoet,com.squareup.javapoet,AbstractTypesTest,getBasicTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,errorTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
javapoet,com.squareup.javapoet,AbstractTypesTest,getTypeVariableTypeMirrorRecursive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AbstractTypesTest,getPrimitiveTypeMirror,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javapoet,com.squareup.javapoet,AbstractTypesTest,box,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,AbstractTypesTest,unbox,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotated,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,annotatedEquivalence,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingAndNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedEnclosingType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,withoutAnnotationsOnAnnotatedNestedType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotationSpecTest,emptyArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,dynamicArrayOfEnumConstants,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,AnnotationSpecTest,disallowsNullMemberName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,disallowsNullMemberName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,AnnotationSpecTest,requiresValidMemberName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,AnnotationSpecTest,requiresValidMemberName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessNonAscii,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_nestedClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_defaultPackage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,bestGuessForString_confusingInput,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,ClassNameTest,createNestedClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElementDoesntUseGetKind,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromTypeElementDoesntUseGetKind,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
javapoet,com.squareup.javapoet,ClassNameTest,classNameFromClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ClassNameTest,peerClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,ClassNameTest,reflectionName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ClassNameTest,canonicalName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,CodeBlockTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,CodeBlockTest,isEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,CodeBlockTest,indentCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,deindentCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,dollarSignEscapeCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementBeginningCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementEndingCannotBeIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,missingNamedArgument,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,lowerCaseNamed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,danglingNamed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexTooHigh,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexIsZero,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexIsNegative,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexWithoutFormatType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexWithoutFormatTypeNotAtStringEnd,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,indexButNoArguments,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,formatIndicatorAlone,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,formatIndicatorWithoutIndexOrFormatType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,tooManyStatementEnters,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,CodeBlockTest,statementExitWithoutStatementEnter,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FieldSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,FieldSpecTest,nullAnnotationsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FieldSpecTest,testToBuilder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,FieldSpecTest,testAddJavadocWithCodeBlock,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectUri,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileReadingTest,javaFileObjectCharacterContent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,FileReadingTest,compileJavaFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileWritingTest,pathNotDirectory,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FileWritingTest,fileNotDirectory,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,FileWritingTest,pathNestedClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileWritingTest,fileNestedClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileWritingTest,filerNestedClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,FileWritingTest,filerPassesOriginatingElements,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,FileWritingTest,filerClassesWithTabIndent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,JavaFileTest,importStaticForCrazyFormatsWorks,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,JavaFileTest,importStaticDynamic,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
javapoet,com.squareup.javapoet,JavaFileTest,testWriteToFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,MethodSpecTest,nullAnnotationsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,nullTypeVariablesAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,nullParametersAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,nullExceptionsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,overrideExtendsOthersWorksWithActualTypeParameters,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,MethodSpecTest,overrideFinalClassMethod,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,overrideInvalidModifiers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,MethodSpecTest,overrideInvalidModifiers,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,MethodSpecTest,duplicateExceptionsIgnored,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,MethodSpecTest,nullIsNotAValidMethodName,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,MethodSpecTest,nullIsNotAValidMethodName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,addModifiersVarargsShouldNotBeNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,MethodSpecTest,addModifiersVarargsShouldNotBeNull,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,MethodSpecTest,testAddAnnotations,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,MethodSpecTest,testAddTypeVariables,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,NameAllocatorTest,usage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,NameAllocatorTest,nameCollision,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,NameAllocatorTest,nameCollisionWithTag,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,NameAllocatorTest,characterMappingInvalidStartButValidPart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,NameAllocatorTest,javaKeyword,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,NameAllocatorTest,tagReuseForbidden,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,NameAllocatorTest,useBeforeAllocateForbidden,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,NameAllocatorTest,cloneUsage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,ParameterSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
javapoet,com.squareup.javapoet,ParameterSpecTest,keywordName,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ParameterSpecTest,nullAnnotationsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ParameterSpecTest,fieldVariableElement,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ParameterSpecTest,addNonFinalModifier,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,ParameterSpecTest,testNestedClass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,TypeNameTest,innerClassInGenericType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,TypeNameTest,innerGenericInGenericType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,TypeNameTest,equalsAndHashCodePrimitive,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,TypeNameTest,equalsAndHashCodeArrayTypeName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,TypeNameTest,equalsAndHashCodeClassName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,TypeNameTest,equalsAndHashCodeTypeVariableName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,TypeNameTest,equalsAndHashCodeWildcardTypeName,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,com.squareup.javapoet,TypeNameTest,isPrimitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
javapoet,com.squareup.javapoet,TypeNameTest,isBoxedPrimitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
javapoet,com.squareup.javapoet,TypeNameTest,testBox,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,TypeSpecTest,basic,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,TypeSpecTest,addAnnotationDisallowsNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,TypeSpecTest,addAnnotationDisallowsNull,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,interfacePrivateMethods,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
javapoet,com.squareup.javapoet,TypeSpecTest,nullAnnotationsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullFieldsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullMethodsAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullSuperinterfacesAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullSingleSuperinterfaceAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullInSuperinterfaceIterableAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullModifiersAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullTypeVariablesAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nullTypesAddition,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,nameFromUnsupportedType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,typeFromUnsupportedType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,tooFewArguments,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,unusedArgumentsRelative,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,unusedArgumentsIndexed,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
javapoet,com.squareup.javapoet,TypeSpecTest,unusedArgumentsIndexed,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
javapoet,com.squareup.javapoet,TypeSpecTest,initializersToBuilder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,TypeSpecTest,equalsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
javapoet,com.squareup.javapoet,TypeSpecTest,classNameFactories,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
javapoet,com.squareup.javapoet,UtilTest,characterLiteral,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 30
javapoet,com.squareup.javapoet,UtilTest,stringLiteral,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
javapoet,(default package),ClassNameNoPackageTest,shouldSupportClassInDefaultPackage,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
